DATAFLOW,LAST UPDATE,freq,indic_de,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FR,2011,545221,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FR,2012,569986,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FR,2013,569365,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FR,2014,559435,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FR,2015,593807,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FR,2016,594005,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FR,2017,606410,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FR,2018,609747,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FR,2019,613388,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FR,2020,669064,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FR,2021,661779,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FX,2010,540469,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FX,2011,534795,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FX,2012,559227,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,FX,2013,561000,e
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,GE,2010,47864,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,GE,2011,49818,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,GE,2013,48553,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,GE,2014,49087,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,GE,2015,49121,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,GE,2016,50771,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,GE,2017,47822,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,GE,2018,46524,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,GE,2019,46659,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,GE,2020,50537,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,GE,2021,59906,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HR,2010,52096,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HR,2011,51019,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HR,2012,51710,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HR,2013,50386,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HR,2014,50839,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HR,2015,54205,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HR,2016,51542,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HR,2017,53477,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HR,2018,52706,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HR,2019,51794,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HR,2020,57023,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HR,2021,62712,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HU,2010,130456,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HU,2011,128795,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HU,2012,129440,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HU,2013,126677,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HU,2014,126294,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HU,2015,131575,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HU,2016,127098,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HU,2017,131877,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HU,2018,131247,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HU,2019,129892,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HU,2020,141326,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,HU,2021,156131,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,IE,2010,27961,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,IE,2011,28456,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,IE,2012,29186,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,IE,2013,29504,
ESTAT:TPS00029(1.0),14/04/23 23:00:00,A,DEATH_NR,IE,2014,29252,
